Macrotrends Data Download

5 Year 5 Year Forward Inflation Expectation

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
2003-01-02,1.9800
2003-01-03,1.9600
2003-01-06,1.9500
2003-01-07,1.9600
2003-01-08,2.0900
2003-01-09,2.1500
2003-01-10,2.1000
2003-01-13,2.1400
2003-01-14,2.1400
2003-01-15,2.1900
2003-01-16,2.1800
2003-01-17,2.1500
2003-01-21,2.1800
2003-01-22,2.1000
2003-01-23,2.1400
2003-01-24,2.1400
2003-01-27,2.1700
2003-01-28,2.1500
2003-01-29,2.1800
2003-01-30,2.1400
2003-01-31,2.1300
2003-02-03,2.1000
2003-02-04,2.1400
2003-02-05,2.1900
2003-02-06,2.1400
2003-02-07,2.1800
2003-02-10,2.2000
2003-02-11,2.2400
2003-02-12,2.1800
2003-02-13,2.2000
2003-02-14,2.2200
2003-02-18,2.1500
2003-02-19,2.1600
2003-02-20,2.1900
2003-02-21,2.2100
2003-02-24,2.2000
2003-02-25,2.1700
2003-02-26,2.1400
2003-02-27,2.1100
2003-02-28,2.1300
2003-03-03,2.0900
2003-03-04,2.0400
2003-03-05,2.0800
2003-03-06,2.1300
2003-03-07,2.0800
2003-03-10,2.0800
2003-03-11,2.0800
2003-03-12,2.0500
2003-03-13,2.1500
2003-03-14,2.0900
2003-03-17,2.0300
2003-03-18,2.0300
2003-03-19,2.0700
2003-03-20,1.9500
2003-03-21,1.9400
2003-03-24,1.9400
2003-03-25,1.9600
2003-03-26,1.9700
2003-03-27,1.9900
2003-03-28,1.9400
2003-03-31,1.9500
2003-04-01,2.0000
2003-04-02,2.0000
2003-04-03,1.9800
2003-04-04,1.9700
2003-04-07,2.0300
2003-04-08,1.9700
2003-04-09,2.0500
2003-04-10,1.9400
2003-04-11,1.9200
2003-04-14,1.9800
2003-04-15,1.9800
2003-04-16,1.9400
2003-04-17,1.9400
2003-04-21,1.9300
2003-04-22,1.9700
2003-04-23,1.9800
2003-04-24,1.9600
2003-04-25,2.0000
2003-04-28,2.0400
2003-04-29,2.0100
2003-04-30,2.0100
2003-05-01,2.2000
2003-05-02,2.1600
