Date,Bank Index,WFC Close Price,JPM Close Price,BAC Close Price
2019-01-02,3.934000015258789,46.94,99.31,24.96
2019-01-03,3.942500114440918,46.57,97.11,24.56
2019-01-04,4.014249801635742,47.95,100.69,25.58
2019-01-07,4.064499855041504,47.64,100.76,25.56
2019-01-08,4.033750057220459,47.54,100.57,25.51
2019-01-09,4.109499931335449,47.8,100.4,25.76
2019-01-10,4.110249996185303,47.75,100.39,25.73
2019-01-11,4.105999946594238,47.87,99.91,26.03
2019-01-14,4.138500213623047,48.42,100.94,26.37
2019-01-15,4.160749912261963,47.67,101.68,26.55
2019-01-16,4.293749809265137,48.94,102.5,28.45
2019-01-17,4.302499771118164,49.23,102.92,28.99
2019-01-18,4.426249980926514,50.01,104.59,29.3
2019-01-22,4.425250053405762,49.86,102.94,29.09
2019-01-23,4.399499893188477,50.12,102.68,28.92
2019-01-24,4.422749996185303,49.98,102.74,29.08
2019-01-25,4.459750175476074,50.13,103.39,29.58
2019-01-28,4.459499835968018,49.82,103.88,29.63
2019-01-29,4.479000091552734,49.85,104.17,29.39
2019-01-30,4.4629998207092285,50.09,104.41,29.07
2019-01-31,4.366000175476074,48.91,103.5,28.47
2019-02-01,4.429749965667725,48.91,103.88,28.38
2019-02-04,4.432000160217285,49.06,104.25,28.88
2019-02-05,4.421500205993652,49.27,103.79,28.78
2019-02-06,4.418000221252441,49.22,103.74,28.73
2019-02-07,4.446750164031982,48.08,102.38,28.24
2019-02-08,4.406750202178955,47.65,101.36,28.29
2019-02-11,4.442249774932861,47.65,100.88,28.41
2019-02-12,4.533999919891357,49.05,102.6,28.69
2019-02-13,4.518249988555908,49.02,103.09,28.7
2019-02-14,4.456500053405762,48.52,102.42,28.39
2019-02-15,4.564499855041504,49.22,105.55,29.11
2019-02-19,4.564000129699707,49.38,105.18,29.13
2019-02-20,4.607999801635742,49.81,105.69,29.41
2019-02-21,4.604499816894531,49.56,105.47,29.29
2019-02-22,4.624000072479248,49.02,105.0,29.08
2019-02-25,4.658750057220459,49.66,106.1,29.27
2019-02-26,4.626500129699707,49.59,105.29,29.29
2019-02-27,4.612750053405762,49.9,105.16,29.53
2019-02-28,4.6267499923706055,49.89,104.36,29.08
2019-03-01,4.625999927520752,50.03,104.43,29.31
2019-03-04,4.627749919891357,50.11,104.19,29.03
2019-03-05,4.578499794006348,49.89,104.11,29.08
2019-03-06,4.591000080108643,49.82,103.72,28.84
2019-03-07,4.48799991607666,49.68,102.97,28.55
2019-03-08,4.464000225067139,49.8,103.01,28.65
2019-03-11,4.509500026702881,49.76,104.35,28.94
2019-03-12,4.513000011444092,49.65,104.04,28.94
2019-03-13,4.553500175476074,49.92,104.39,29.29
2019-03-14,4.577250003814697,50.35,105.34,29.46
2019-03-15,4.594250202178955,50.66,106.55,29.3
2019-03-18,4.648250102996826,51.73,107.19,29.82
2019-03-19,4.627999782562256,51.41,106.8,29.65
2019-03-20,4.500999927520752,50.4,104.52,28.64
2019-03-21,4.36175012588501,49.86,102.87,28.18
2019-03-22,4.148250102996826,48.31,99.76,27.01
2019-03-25,4.152500152587891,48.08,98.93,26.84
2019-03-26,4.18625020980835,49.01,99.92,27.21
2019-03-27,4.216000080108643,48.77,99.58,27.03
2019-03-28,4.224249839782715,49.09,100.71,27.33
2019-03-29,4.275750160217285,48.32,101.23,27.59
2019-04-01,4.372250080108643,48.81,104.64,28.54
2019-04-02,4.423999786376953,48.21,105.14,28.87
2019-04-03,4.4332499504089355,48.86,105.35,28.84
2019-04-04,4.486000061035156,49.17,105.56,29.15
2019-04-05,4.461999893188477,48.78,105.31,29.08
2019-04-08,4.4710001945495605,48.88,105.65,29.17
2019-04-09,4.427750110626221,48.14,104.87,28.89
2019-04-10,4.404749870300293,47.79,105.34,29.07
2019-04-11,4.461750030517578,47.74,106.23,29.07
2019-04-12,4.525000095367432,46.49,111.21,30.17
2019-04-15,4.5269999504089355,46.77,109.94,29.84
2019-04-16,4.5279998779296875,47.65,111.1,29.88
2019-04-17,4.578249931335449,47.55,114.3,30.03
2019-04-18,4.579999923706055,47.58,113.46,30.03
2019-04-23,4.576499938964844,47.35,113.74,30.07
2019-04-24,4.5657501220703125,47.48,113.55,30.02
2019-04-25,4.598750114440918,47.51,113.61,30.08
2019-04-26,4.613999843597412,47.96,114.47,30.35
2019-04-29,4.701000213623047,48.27,116.12,30.77
2019-04-30,4.667500019073486,48.41,116.05,30.58
2019-05-01,4.670000076293945,48.23,115.16,30.26
2019-05-02,4.64300012588501,48.3,115.41,30.5
2019-05-03,4.7204999923706055,48.65,116.12,30.71
2019-05-07,4.6282501220703125,47.17,113.21,29.92
2019-05-08,4.603250026702881,47.0,112.61,29.8
2019-05-09,4.515999794006348,46.74,112.52,29.71
2019-05-10,4.520999908447266,47.15,112.51,29.58
2019-05-13,4.456500053405762,46.33,109.45,28.25
2019-05-14,4.463749885559082,46.49,110.32,28.62
2019-05-15,4.40625,45.84,109.9,28.29
2019-05-16,4.4695000648498535,45.9,111.31,28.59
2019-05-17,4.4710001945495605,45.7,110.77,28.4
2019-05-20,4.453000068664551,45.45,111.35,28.4
2019-05-21,4.481500148773193,46.33,111.73,28.69
2019-05-22,4.460999965667725,46.1,110.82,28.49
2019-05-23,4.368249893188477,45.56,108.64,27.76
2019-05-24,4.385749816894531,46.17,109.71,28.18
2019-05-28,4.394750118255615,45.59,108.52,27.9
2019-05-29,4.326250076293945,45.48,108.22,27.75
2019-05-30,4.333499908447266,45.05,107.06,27.16
2019-05-31,4.262499809265137,44.37,105.96,26.6
2019-06-03,4.2522501945495605,44.52,106.46,26.68
2019-06-04,4.396249771118164,45.68,109.74,27.92
2019-06-05,4.392499923706055,45.86,110.13,27.91
2019-06-06,4.403749942779541,45.92,110.37,27.88
2019-06-07,4.381249904632568,45.63,109.16,27.53
2019-06-10,4.472249984741211,46.27,110.34,28.07
2019-06-11,4.492000102996826,46.26,110.68,28.24
2019-06-12,4.426750183105469,44.91,109.27,27.95
2019-06-13,4.443749904632568,45.29,109.54,27.94
2019-06-14,4.413249969482422,45.59,109.82,28.04
2019-06-17,4.459000110626221,45.27,109.22,27.93
2019-06-18,4.464749813079834,46.1,110.71,28.62
2019-06-19,4.5,45.65,109.91,28.32
2019-06-20,4.367000102996826,45.86,110.19,28.27
2019-06-21,4.4629998207092285,46.89,109.44,28.12
2019-06-24,4.4332499504089355,46.27,108.66,27.98
2019-06-25,4.392499923706055,46.14,107.76,27.76
2019-06-26,4.4332499504089355,45.8,108.48,27.91
2019-06-27,4.447000026702881,46.29,108.84,28.21
2019-06-28,4.525000095367432,47.32,111.8,29.0
2019-07-01,4.578999996185303,47.69,113.68,29.42
2019-07-02,4.539000034332275,47.23,113.8,29.15
2019-07-03,4.559000015258789,47.66,112.82,29.05
2019-07-05,4.604249954223633,47.77,113.49,29.26
2019-07-08,4.580749988555908,47.53,112.87,29.2
2019-07-09,4.584000110626221,47.83,113.35,29.35
2019-07-10,4.542749881744385,47.15,113.02,29.02
2019-07-11,4.54925012588501,47.14,114.1,29.36
